48,518
48,518
48,518
48,518
46,520
40,522
40,526
82,562
142,640
110,608
110,590
106,576
100,562
78,550
56,538
62,544
78,570
78,572
86,564
60,562
0,460
0,420
0,344
0,386
0,434
32,640
74,560
122,606
268,640
280,614
332,614
358,614
82,602
58,534
26,496
0,468
0,412
0,298
0,248
0,396
152,616
162,636
364,640
434,612
360,614
12,444
24,314
24,328
10,230
94,590
286,640
0,636
70,636
128,628
0,362
0,282
150,640
122,636
208,640
6,640
134,636
24,614
484,614
280,614
0,358
0,398
26,498
76,556
60,550
104,588
100,592
0,554
0,536
20,522
24,560
24,592
146,628
106,636
152,636
198,636
144,618
40,640
0,640
0,452
0,490
0,504
0,476
0,466
0,616
0,476
0,530
24,454
100,586
136,614
140,618
102,582
82,584
0,570
62,640
48,534
0,476
0,640
0,236
34,392
24,304
96,580
70,560
54,574
